,pros,company
34436,"-Leadership empowers you to work on things that you are truly interested in. -Peers/ teammates are supportive and stand behind the companies mission and values. -No top/bottom culture, everyone is treated equal. -Flexible schedule and good work/life balance as long as you get your work done. -Free food/ gym/ etc.",facebook
3032,"Great, fun place. Cutting edge technology.",google
59952,"If you are a software engineer, you wil learn a ton about software development and have great opportunities to grow and enhance your technical skills. The company has a very broad range of projects to work on, so you can work on pretty much any kind of software that you want to work on. Your colleagues will be super-smart. The company is well run day-to-day and you can learn from you rmanagers and senior technical people. Decisions are thoughtful - you do not worry about abrupt changes in directions.or suddently the company deciding to shutter your division.",microsoft
271,"Interesting stuff going on in the company, really high comp, good work/life balance, nice people",google
56879,"cutting edge, great benefits, manageable work life balance",microsoft
335,The best work environment I have ever found myself in.,google
36272,Easy job to get for HS college student,netflix
4562,"good work-life balance, openness about important company information from the top-down, dedicated to providing feedback and resources to help you develop professionally",google
512,"pay, health care, benifits, exposure",google
35794,There are so many things..,facebook
1137,The smartest people I ever worked with.,google
36371,"Freedom to use latest technology. Large customer base. Smart engineers. Profitable company able to hire and properly resource development effort. Well known brand. Product is loved by most customers, and available just about everywhere. Competition is behind. Clear leader in unlimited streaming.",netflix
5990,Lots of fascinating stuff happening all around you. Strive to be a great workplace. Lots of brand cache.,google
56903,"Good place to work in, especially in Seattle. Smart people.",microsoft
35283,"_Everyone is world-class in everything they do, from PMs to Legal to Engineers who are some of the best around. _The challenges are huge, the impact is vast _Anyone can propose ideas and try them out as an experiment, the best experiments will make it out to 1 billion people! _Free food _Tons of awesome perks",facebook
2276,"Great culture, smart, motivated employees",google
53472,Great Benefits Good work-life balance Many smart people working with you,microsoft
35616,"Smart collective of people. Able to move fast - shift anf lift. Agile community. Strong perks and amazing food. Best intend for clients and users. High integrity. Freedom to do waht you want to do, and thrive on your strengths. Fair compensation.",facebook
64244,- Good Work life balance - Finding mentors is easy - Shifting between jobs is convenient,microsoft
2724,Perks and the culture of the company,google
7078,"Very good experience, good environment",google
35620,The people and culture are 1st rate. Having a job with a purpose and making the world a better place.,facebook
59969,The compensation plan for employee was excellent. I love the cafeteria and all the perks provided to employee for free.,microsoft
35652,"Good salary, culture, benefits, business prospects",facebook
35200,The culture is amazing. They will work hard to find you something to work on that fits your passions and lets you make a huge impact. No corporate BS. Great people.,facebook
35090,"Nice smart people to work with Excellent culture and values Good metrics measured, both human-wise (e.g. manager approval rates) and engineering wise. Flexibility in choice of team, work from home options etc. Amazing perks",facebook
60573,"Good Work Life Balance exists in the parts of the company which I have been exposed to Health Benefits are very good, for example no medical deductables",microsoft
6039,"free food, awesome work environment , global teams, exciting work, did I mention the free food?, massages,",google
35055,"- Everybody is really smart and dedicated to their work - The perks are amazing - Morale is high, the company is on an awesome trajectory",facebook
36156,"People are incredibly smart, but also dedicated to success -- it's easy to get a director or VP of a function in a sit down to help you on a project they're not even leading.",netflix
5348,Benefits are extremely good if not the best,google
35257,"-- Emphasis on interpersonal skills, honesty and integrity -- Smartest people I have ever worked with -- Inspiring mission and leadership -- Amazing benefits (onsite health, postal services, food and gym)",facebook
35539,"An amazing environment where people choose what to work on. There is hardly any beauracracy, and you can be entirely focused on your impact. Everyone is friendly and happy to help, and people can just be themselves.",facebook
36126,"Results driven, ability to create and execute own projets, candid feedback",netflix
35458,Very open culture. Great internal communication. Management does a good job of trusting and delegating work. The best people I have worked with. Fast pace of work. The high execution focus and speed of change is amazingly - I have worked on a large number of projects that have been quickly completed and and successfully implemented.,facebook
4834,"Working with talented, driven people who I can learn from every day Working in a place where I feel I'm making a difference. Working in a place where I feel I can express myself Great for the resume. I feel the experience I've had here will be valuable in the future I have had a string of excellent managers I get to say that I work for one of the most influential companies of our time.",google
66465,"Dream comes true when people get oppurtunity to enter inside Microsoft. Great environment, accompanying amazing talents as team members to reach goal. No comparisons for Microsoft with any other else.",microsoft
54459,"Awesome, Good, Excellent, Nice, Amazing",microsoft
36328,"Incredibly talented coworkers, opportunity to make a difference (your work is really seen in other parts of the company), very interesting area of work, top company in the world in its field, excellent compensation.",netflix
53976,Opportunity to work in different types of business,microsoft
36013,"Great development culture, tons of opportunity, big problems, lots of independence - the motto ""freedom and responsibility"" is not just a platitude.",netflix
36056,"Good employee perks free lunch, phone, swag. Innovative company where you will learn alot",netflix
5226,"Good vibe, Rewarding benefit, work life balance",google
61169,"You can work with smart people on challenging problems. If your capable AND happen to be on the right team with the right manager, your contributions can be recognized and well rewarded.",microsoft
35061,"Very smart co-workers, fast-paced atmosphere, great networking (strong ex-employee groups after you leave), constantly changing and evolving. Mark is a strong product leader. Ability to leverage the experience for more fulfilling opportunities after you leave.",facebook
3200,Amazing place to work. Challenging work environment. Considerate peers.,google
34888,Great product and community. The people are great.,facebook
55793,"Great benefits, smart people, big challenges and big pay check",microsoft
407,"Decent pay, great way to elevate career. Perks of Google",google
36204,Great Pay. Benefits and perks. Catered Food.,netflix
34404,"- Perks - Life@FB helps manage every aspect of your work life during the day, from providing three meals a day, to unlimited visitor invites, helping with laundry, bike repair, hairdresser... - Initiative-driven culture. Nobody tells you want to do - you figure out how you can be most effective and run with that. - Strong engineering-centric culture. - Mark and Sheryl are amazing.",facebook
35928,"Dynamic, fun environment with lots of thoughtful, intelligent people. It's possible to have a real impact on your field by innovating and moving fast. HR supports employees with tough interpersonal challenges.",netflix
34554,Awesome hands on learning experience.,facebook
34389,"- The company really cares about upscaling their managers. As an individual contributor myself, I really appreciate having a caring and at the same time professional manager, who gives me a lot of flexibility, but steps in when I need them. - You are being recognized for impact, not for how many years of experience you bring to the table. This helps getting good reviews for hard work, even when you're young and unexperienced. - You get many opportunities to work cross-functionally, which is great for diversity of thought. Personally, I like the fact I am exposed to working with technical and non-technical people. - Some of the benefits are amazing. Fertility treatment coverage and in general medical coverage are the best out there.",facebook
1645,"Work among very intelligent people, material amenities, over all culture that inspires learning and curiosity.",google
6629,"Large diverse working staff, plenty of cool people with new ideas. Chances of long career",google
5077,Qulity of this is best,google
36322,- Great Benefits - Living wage - Fun environment - Engaging work,netflix
64755,"free food, nice mentor, and make a lot of friends!",microsoft
279,"Vibrant, extremely Inclusive and competitive.",google
35462,"Push code daily, work with extremely talented engineers, free food, great compensation, and seeing everyone I know use the product",facebook
2802,1. Friendly and chill company culture 2. Lots of smart people to work with,google
35656,"I'm learning a lot from the people I work with, both technical and soft skills.",facebook
66792,It was a great company and it can be again.,microsoft
35629,"The pros are -  - The overall company culture - Good food  I did not find any pro in the product support team.  I would recommend working at Facebook, but be very aware of which teams you join, the core responsibilities, the manager, the career level your are joining at etc.",facebook
2239,A great employer. Nice Food. A lot of technical challenges. But it is very hectic there.,google
36139,"Great coworkers, free netflix , tools available to complete job, swag, easy for call center work, great benefits and pay.",netflix
62564,Good place to be in,microsoft
50399,"Benefits were great, environment was nice",microsoft
2954,Google has an amazing work environment that has made it one of the best places to work. I highly recommend this company.,google
59248,"Great pay/benefits, brilliant coworkers, inside scoop on new tech",microsoft
35288,"There is a huge potential for impact. If you have a great idea and can convince others to join you, there is very little process stopping you from building awesome new stuff and shipping it to the world. Practically everyone I know, and everyone I meet, has used the software that I've written.  The company culture and values are amazing and everyone is totally on board with them. There is no politics or infighting and everyone is really on the same team trying to make facebook better.  Facebookers are extremely smart people and super passionate about their work. We aren't afraid to take on new risks or big challenges.  The technology stack is mind boggling. When I started at facebook a few years ago, every day I learned something that made my jaw drop. The same thing still happens to me on a regular basis years later.  Mark and Sheryl make a great pair of leaders that I have the utmost confidence in.  There are excellent learning and development programs/opportunities that help you progress in your career.  The benefits are obviously awesome too.",facebook
3553,"good management, perks, salary :)",google
604,Lots of opportunities to find interesting work. Great people to learn and work from. Very self driven.,google
34758,"I just left Google and joined Facebook, and felt so much happier. The reasons are:  1. The real impact At Google I joined a team whose product is only used by less than 1000 people, and even for that product I was assigned to do a peripheral part, whose functionality actually doesn't matter at all. Just for that module, I had to write unit test for every silly part of the code, and took long iteration cycles. I admit those are good engineering coding trainings, however taking precious time in my life to work on something that doesn't matter is just a waste of my life.  In Facebook things just move so much faster. There are standard software engineering review process but not as rigid. Just during training (boot camp) weeks, I had tasks to change very important part of Facebook's core code, and the second day after I check-in my code, it got shipped to almost 1 billion people. As a software engineer I cannot recall a moment I felt better for my job.  Then I joined a team that's extremely important to Facebook's revenue. A mistake in the code I changed could cause Facebook million dollar a day. However Facebook just trusted us, allowed us making mistake and having quick iteration cycles to test ideas fast. If I make a coding mistake in my team in Google it might cost Google nothing in terms of revenue as my product was small, however the development process was so strict I could not have chance to try my innovations or test my ideas. But in Facebook that's all possible.  2. The organizational structure Google's organization is now very structured and hierarchical. Facebook is having more layers, but the working style is still flat, and social-network style. Speaking to people in different teams, form an idea, lead a virtual team and complete it, this style is still valued. My boss is more like a mentor helping me navigating through the ideas, rather than an authority telling me what to do.",facebook
1643,Great work experience and great perks for interns,google
35961,They have snacks and the benefits are decent,netflix
34452,"It might be easy to roll your eyes when people from Facebook say how open their culture is, but it's true, it's more open than any other place I've worked at. At a company wide-level, secret projects, public incidents, important non-public business metrics and the like are all openly discussed. You can ask questions about them directly to Zuckerburg at the weekly Q&A. I think the idea is that if everyone is on the same page or at least, differing views are heard, the company will be stronger, and solutions may be offered from a place you didn't expect. This is much different from previous companies I worked at, where discussions on internal email lists would be shut down by some lawyer saying that there's certain things that can't be discussed, and important data is divided up to groups and individuals on a ""need to know"" basis, etc.  This culture applies at a lower level too. You feel comfortable giving feedback to each other about each other, about product decisions, about management, etc. The flipside of this openness is that you of course, have to be willing to receive the feedback, you have to recognize that while openness and feedback is highly encouraged, decisions have to get made, and actions and data are more valuable than words. At the higher level, since the company trusts employees with access to so much information, keeping such info confidential from the outside world is taken seriously.  It's a great place to work as an engineer. You're given a lot of freedom, but it's also a responsibility to make sure you're doing things that are valuable. You don't get much credit for working hard or being smart if you don't produce valuable output.  One cool thing about Facebook, in contrast to other comparable companies (Google, Amazon, and Microsoft, though in truth, FB is much smaller), is how they have a pretty singular focus. Even with the differing areas (including advertising and such), they do a good job of keeping their eye on their mission of connecting as many people as possible. I also think they are way more empathetic to their users than most people give them credit for. It seems like popular opinion has it that FB is arrogant and only cares about its users insomuch as they represent $-signs. From within the company, it didn't feel this way at all. I saw a lot of empathy towards users, and a lot effort spent to improve or things or fix broken things with no direct financial benefit. The strategy is not complex. The thinking is that if they can make FB easier and more fun to use, then more people will use it for more time each day (which will also have a network effect of attracting even more people to use it), then the advertising dollars will follow. Of course, it is true that FB wants to make the audience more accessible to advertisers as well, but there are a lot of people at FB who care about privacy and security.  They have really good infrastructure and really great ways to share the infrastructure and code. They have a lot of cool internal tools, and what they've built is really impressive, and more importantly, it helps your team build products faster without having to solve problems that someone else already solved. Every software company tries to do this, but FB seems to have been more successful with it. Perhaps it's because they're still relatively small, but if anything, I can at least say it is very cool while it lasts.  The perks and work environment are great, unless you're one of those types that can't stand open office spaces. I've worked in both a private office and open offices in multiple companies. While I do think a private office has some benefits, I mostly think it's a personal luxury for the employee and a huge waste of money for the company. I'd much rather have the money go into other areas like salary, benefits, and other workplace improvements rather than the added real estate necessary to have offices.  Of course, you've heard about the food and snacks. They have an amazing selection of great stuff, and what I like about it is that it sort of goes above and beyond expectations. Sure, some days, lunch is better than others, but I really can't complain, and the selection of drinks and snacks is amazing. It's not like you should work at FB just because of that, but it demonstrates FB's desire to make work as fun and convenient as possible.  You'll be surrounded by people who like being there. I can't think of a better environment to work in. If you have a giant ego, you may not like it as much. Respect is definitely given to those that have deep experience in the industry, and they are expected to lead others and mentor more junior employees. However, if for whatever reason, you can't perform at the level expected, no one is going to care if you did this and that at Google or shipped ten things at MS, etc.  FB also has a lot of fun events, and I made a lot of friends working there, so going to the events was fun. Also, if you're older and worried that FB is just a bunch of 22-year-olds, and that you won't fit in, I wouldn't worry about that. FB does have a lot of young employees (who are really smart btw), and it does hire a lot of people straight out of college, but it also attracts a lot of experienced engineers from other top companies like Google, MS, Amazon, etc.  Work-life-balance seemed totally normal to me. It may be different depending on your team, but I felt you could do 40-50 hours of work a week for the most part and you would be totally fine. It's about what you produce, not how hard you're working. Other team members who had children would work normal hours and go home at normal times. I didn't see any of these folks have a problem when they left early to take care of their child or things like that. Of course, there could be times that people are expected to work extra if something critical happens, but for the most part everyone wants to avoid this and this happens sparingly, from what I observed. Now, there were many times where I chose to work late myself, but I never felt any pressure to do so. The caveat is that there are on-call rotations, and in addition, even if you are not on-call, you are expected to be reasonably available if the on-call person needs your help. However, again, no one wants this, and your team will work on ways to avoid these situations.  The best thing I can say is that working at FB is about productivity. I didn't experience and political bs and it was a pleasure working with a group of people who were all concerned with producing a good product and making the best of the time spent while doing it.",facebook
51989,- Flexibility - Ability to transfer internally to work on different technologies - Good benefits,microsoft
35573,"- Great company values. They have put a lot of thought behind them and it's very inspiring to see what the company stands for on paper. - They are quite transparent when it comes to product strategy, roadmaps, etc. It's great how much they make you feel part of the success of the company. - Excellent benefits and perks. - Sheryl Sandberg. A thousand times.",facebook
32,is very good. is very very good,google
34789,"Great company, great benefits, and great brand.",facebook
6074,great company with very professional peers challenging but rewarding environment,google
4226,"Name recognition, excellent benefits, develop tech skills, internal mobility, additional responsibility, feeling of importance and challenge.",google
56068,Some of the best compensation and benefits in the world Several weeks of training and conferences a year Tech company where software engineers are held in high honor,microsoft
60106,"People, products, technology, benefits, reputation",microsoft
3099,"A big community of professionals in Computer Vision, who want to help you to work with them.",google
3069,Good team good people all around,google
36414,Netflix base salaries are high. Engineers are all very senior. The buildings are beautiful and having onsite expresso machines is wonderful. The location near Los Gatos is great. Everyone outside of Netflix understands and loves the service which is a pretty big perk.,netflix
64189,"Being a big company, Microsoft provides a lot of flexibility in what technologies one wants to work on and what timings",microsoft
34541,Great culture overall. Good benefits. Smart people.,facebook
34951,"-Things move very fast here and they are constantly changing. This might not be considered a pro for those who are resistant to it but I think it helps keep the job fresh. I've been here for almost 3 years now and never once have I felt that my work has gotten stale. I think this is very important for facilitating personal and professional growth. -The people I work with every day are not only some of the smartest people I know, but they are my friends and people I chose to hang out with outside of work. Facebook encourages all employees to be their authentic selves which translates to a much more relaxed and social work environment. It's work hard play hard and it's awesome being able to work people you actually want to spend time with. -The perks are unreal. Everything from free food and laundry to awesome healthcare plans. It's actually kind of ridiculous. Their focus is on convenience benefits to help with work life balance.",facebook
35620,The people and culture are 1st rate. Having a job with a purpose and making the world a better place.,facebook
36343,"- great physical work environment in Los Gatos - great co workers: highly motivated, intelligent, impressive experiences. Netflix hires people at the peak of their games - at the time (2007-2010), it was an exciting time of growth in the online streaming space, with consistent growth in the DVD space, fun to be on the cutting edge, and high growth. - great compensation, employees are well paid",netflix
3428,"Amazingly smart colleagues Great innovation Being a part of a company that really helps make our world a better place Benefits, benefits, benefits Being appreciated Being apart of something huge Fast paced and challenging Freedom to do what inspires you Tons of growth potential and flexibility to explore the company",google
65300,Very good company. Care for her workers,microsoft
7771,Bon boulot tout le monde,google
34813,"The autonomy - the freedom to do work at a fast pace and little bureaucratic barriers. The food - there's such a wide variety of breakfast, lunch, dinners, happy hours, drinks, and snacks. The culture - this term is thrown around a lot but Facebook is very unique. it's almost utopian the way people come together to solve problems. not just work but social problems as well. Ex. the black lives matter conversations.",facebook
2425,you can work on what you want to work on,google
36289,Easy interview. Lots of quiet time. Ripping envelopes can be kind of a zen experience if you look at it that way,netflix
5656,The best company culture and benefits!,google
4144,"awesome benefits, good pay, reasonable company values",google
36644,Free subscription and the salary was competitive for the industry.,netflix
6601,The culture and smart people you get to work with,google
4324,"Corporate culture is excellent, great benefits and perks",google
62374,Got to work with some of the smartest people i've known. Team culture is also amazing.,microsoft
35573,"- Great company values. They have put a lot of thought behind them and it's very inspiring to see what the company stands for on paper. - They are quite transparent when it comes to product strategy, roadmaps, etc. It's great how much they make you feel part of the success of the company. - Excellent benefits and perks. - Sheryl Sandberg. A thousand times.",facebook
6226,"- good salaries, good environment to work at - fully coopertaive team, working in the us, competitive people",google
6515,"Amazing people, passion for cutting-edge technology, start-up kind of environment",google
35766,"- Great atmosphere - High degee of ownership in your role and in side-projects - A lot of freebies (food, sport facilities, etc) - Competitive compensation",facebook
36256,Excellent wages lots of autonomy,netflix
35625,- Great company to work with - Huge learning opportunity - Brand name for your resume - Awesome management team and colleagues,facebook
34666,Good place to work. Treats you well.,facebook
34375,great benefits and such I like very much,facebook
1262,"Everyone here is really smart and capable. Lots of companies say that, but here it's actually true. The perks and benefits are amazing. Pay is competitive. Management is very hands-off - Engineers have a large degree of autonomy in deciding how best to accomplish something.",google
4268,Smart people and on-scale opportunities.,google
5058,"I came for ""two years"". I'm at Google over seven and counting.  Great peers with a culture that fosters collaboration and learning from others.  Lots of flexibility - working hours, working from home, team and product mobility.  Competitive perks, benefits and compensation.",google
35968,"Amazing coworkers, family environment. Wonderful medical and benifits",netflix
34658,"-Great benefits (free food, free insurance, free accounts like Care.com and Dropbox) -Flexible schedules -401k matching -stocks and bonuses",facebook
36102,"I wasn't looking to change jobs, Netflix found me and offered me a very generous salary and relocation to leave my employer. I loved my job but it only lasted 4 months after they hired someone from another big company and he wanted to bring in his own team. I was still in corporate housing when they let me go. They said the new manager didn't have chemistry with me but I had only met with him twice and he had only been working there for two weeks before he decided to let me go over said ""chemistry"". The new guy was very unprofessional and treated me in ways that do not align with the Netflix culture. I talked to the VP that hired me and he said he was very sorry and that I had done nothing wrong and didn't need to change a thing but that he had to support this other guy in his decision. I wish things would've worked out different but I did enjoyed my time while there.",netflix
34436,"-Leadership empowers you to work on things that you are truly interested in. -Peers/ teammates are supportive and stand behind the companies mission and values. -No top/bottom culture, everyone is treated equal. -Flexible schedule and good work/life balance as long as you get your work done. -Free food/ gym/ etc.",facebook
35793,"Great deal of flexibility Most amazing senior management and some of the best mentors The perfect place to kickstart your career and learn about the corporate A dynamic organization with well defined structures. But not so rigidly defined that you lose out on flexibility free food, great parties and offsites, intellectual and passionate people and the best culture",facebook
64038,Cache of working for MS Annual training in Seattle Frequent refresh of kit and tech toys like phones and tablets,microsoft
34824,"A lot of freedom, relaxed environment, surrounded by smart people, fun hackathons!",facebook
36461,"One of the main reasons I enjoy working for Netflix is that hard work and dedication are recognized and encouraged. I have always been self-motivated and dedicated to doing the best job possible. With previous employers, this has gone unnoticed and politics got in the way of career advancement.This is not the case with Netflix.",netflix
6556,- great benefits -great peers - great educational programs.,google
34758,"I just left Google and joined Facebook, and felt so much happier. The reasons are:  1. The real impact At Google I joined a team whose product is only used by less than 1000 people, and even for that product I was assigned to do a peripheral part, whose functionality actually doesn't matter at all. Just for that module, I had to write unit test for every silly part of the code, and took long iteration cycles. I admit those are good engineering coding trainings, however taking precious time in my life to work on something that doesn't matter is just a waste of my life.  In Facebook things just move so much faster. There are standard software engineering review process but not as rigid. Just during training (boot camp) weeks, I had tasks to change very important part of Facebook's core code, and the second day after I check-in my code, it got shipped to almost 1 billion people. As a software engineer I cannot recall a moment I felt better for my job.  Then I joined a team that's extremely important to Facebook's revenue. A mistake in the code I changed could cause Facebook million dollar a day. However Facebook just trusted us, allowed us making mistake and having quick iteration cycles to test ideas fast. If I make a coding mistake in my team in Google it might cost Google nothing in terms of revenue as my product was small, however the development process was so strict I could not have chance to try my innovations or test my ideas. But in Facebook that's all possible.  2. The organizational structure Google's organization is now very structured and hierarchical. Facebook is having more layers, but the working style is still flat, and social-network style. Speaking to people in different teams, form an idea, lead a virtual team and complete it, this style is still valued. My boss is more like a mentor helping me navigating through the ideas, rather than an authority telling me what to do.",facebook
34313,#1 - It's a mission driven company and we are contributing to a greater good. Love the fundraising features and amazing to see how many dollars have been raised. Love features like safety check keep people safe during natural disasters. Love the stories of connection - family members meeting for the first time due to finding each other on Facebook. Love the support we provide to small businesses which wouldn't be where they are today without instagram or Facebook.  #2 - The growth opportunities. I've learned more and grown more in the past year than any other company  #3 - I have 3 children and feel I'm able to balance my work and personal life.,facebook
36462,Great for silicon valley rockstars who live there jobs.,netflix
34357,1. best food 2. best ceo 3. best IT help,facebook
63144,Great Environment to work and unlimited food supply at subsidized rate,microsoft
35464,"I really like the pace that we're working at -- there's so much going on, and there's a lot of inherent trust in people to run with what they're doing. Policies and red tape in previous companies sometimes left me feeling a bit stifled about what I was able to work on & share, but there really is a sense of openness at Facebook, not only in communication, but in the ability to jump into projects that call out to you as well.  And beyond that, the people really are incredible: smart, fun, unique, and passionate about what they're doing. It's hard not to get excited by the people alone!",facebook
3104,"Relevant products, talented people to work with, great global brand",google
35625,- Great company to work with - Huge learning opportunity - Brand name for your resume - Awesome management team and colleagues,facebook
34275,"Great Benefits both at work and for families like Medical/Dental/Vision/401k. Generous work related support in terms of services, food, etc.",facebook
34884,"I am not hyperbolizing when I say that working at Facebook is the best job I could possibly imagine.  You get to work with a visionary leadership team that is incredibly accessible and wants to hear from you. Mark's Townhall meetings grew out of the weekly Q&A that he runs internally. If you want to ask Mark Zuckerburg or Sheryl Sandberg a question you can do it. If you want to give feedback or see changes in nearly any aspect of Facebook you will be empowered to do it.  Your team will likely be comprised of industry experts in your particular area of work. From kernel hackers, PhD's in computer learning, hardware engineers building drones and our own servers, to network engineers that are helping write drafts and RFC's that define the underlying protocol architecture of the Internet - you will find everything under the sun and these people will make you so much better at what you do.  If you aren't enjoying what you're doing in your current role you can go on a Hack-a-month with another team. This lets you expand your skills working on a different set of challenges and stay on your new team when you finish, if you like the work, or head back to your old team to work on something else. The best part is that management encourages these types of moves!  The management teams empower you to work on the things you want to, and gives you the ability to impact billions of people. You work on one of the biggest platforms on the planet and you will see the results of the work you put in everyday in making it better.  Also, the benefits are pretty amazing.",facebook
36122,Freedom and Responsibility is the fabric of the culture. The mentality to be able to make changes and shift gears quickly allows us to execute in a manner that I have never experienced before in my previous companies. The inherit trust allows me to grow and the feedback and candor allows teams to refine great ideas to execution. We are treated like adults here and you are your own police.,netflix
7750,Sehr schnell sehr großes Netzwerk,google
2370,"Incredibly brilliant people, very comfortable amenities and perks. The opportunity to solve (mostly) really interesting challenges and problems at a HUGE scale.",google
55256,"Lots of scope to create products used by large numbers of folks worldwide, in capable teams with great environment and benefits.",microsoft
6342,Best Organization ever to work for,google
34431,People are smart and friendly.,facebook
3470,Great benefits. Smart coworkers. Flexible hours.,google
55105,- Great Opportunities - Excellent Experience - Knowledgeable People - Broad Range of Fields and Specialities,microsoft
7614,"good compensation, nice place with a lot of goodies.",google
5002,"Work-life balance, High wages, healthy work culture",google
4296,"innovative, diverse portfolio, forward-looking, brilliant teammates, dynamic, perks",google
36487,"Focused on individuals who can self manage and get their work done. Netflix has nice in -house perks: the movies, etc and pretty good benefits & vacation. Fast paced change.",netflix
34630,"Move fast, exciting project. Bottom up culture that make things interesting and possible",facebook
34391,"Facebook truly cares about their employees and does an amazing job taking care of us. There are way too many pros too list, but here are a few at the top - amazing work life balance, high impact, great leadership, meaningful work, some of the best benefits/perks, growing company, open culture, exciting projects, smart people, beautiful office, and much much more",facebook
6298,The culture is something that I really appreciate at Google,google
34627,"Aside from the countless perks that are literally too long to list out here, one of the best things about this company is it's people. Everyone goes above and beyond to help each other to succeed. It truly is a team effort.  Upon arriving to the office every morning, everyone from the reception staff to your team says hello to you, and genuinely is interested in your life. People love coming to work every morning and are excited about what they do here every day, and it shows.  Many companies as competitive as this expect a lot from their employees, and so does Facebook. However, they also encourage a healthy work/ life balance, ensuring their employees are taking enough time off (either by working reasonable hours every day, and/or actually using all of their PTO) to be able to stay fresh and ready to work when at work.",facebook
35834,"We could easily run out of space here. Facebook as a company, is like friend. I've my manager's constant attention on any issues I might come up with. The amount of benefits at Facebook is close to countless, starting from the small snacks, free food and basically everything that you can imagine. Once the company gave you everything you can think of, you have a wonderful place to work, with brilliant people on the most challenging problems. All you have to do for this, is doing your job.",facebook
50004,Coding was lot of fun.,microsoft
6545,"People, culture, opportunities, salary and beneftis",google
36523,"Freedom and responsibility, and the company does not sweat the small stuff. The company is forward thinking. The salary ranges are at the top of the market scale. There is a no leave policy meaning that what vacation you want as long as your work is complete. Generally most department become amazed at the accomplishments of the other departments work. The CEO is inspirational when he speaks and his actions are those of a true leader.",netflix
1286,"People, perks, salary, benefits. One of the top payers around and lots of flexibility in benefits and work schedule. Have had many great managers",google
36194,Fun environment if you are young,netflix
34312,Managers have the best time of their lives. They keep engineers down through intense and demoralizing review cycles. No repercussions whatsoever. Helps to keep labor expenses low.,facebook
35934,"Set your own breaks, subsidized meals, .50 raise every 6 months, Netflix cares about how their employees feel and they actually accept suggestions and advice from employees!",netflix
6544,"It is a prestigious company, you get access to best people in your country.",google
5074,Want to work to know the data management,google
65390,"good environment, great opportunities, very challenging, a lot of mentors and role models for both professional and personal life, great team",microsoft
35761,"Autonomy, Inspiring Leadership, wonderful benefits, colleagues feel like family, mission driven company",facebook
6661,"Really fun place to work, challenging environment, great people around you and a company with a grand mission, plus the free food - what else do you want?",google
35521,Great culture and workforce excited to work heee,facebook
35771,"Strong culture of passion, learning, openness / transparency, direct feedback, and everything is designed around empowering engineers to ship things quickly with a lot of autonomy. Growing everywhere and lots of opportunities for driving projects at whatever level you are able. And the people are wonderful - many of them feel like old friends even though we've worked together only a short time.",facebook
3696,Best Engineering culture i have seen. The impact is very big as products scale to millions of users.,google
63192,The only thing - Brand,microsoft
2456,"I was experiencing great fulfillment working for such great Company, using my linguistic skills and Italian culture in a multicultural environment.",google
6054,Lots of support and good comradery.,google
35242,"I've been able to define my career trajectory here by focusing on projects that I think will have the highest impact on the business. It's up to me to fight for the resources (people, time, money) I need to complete the project. But at the end of the day and after a lot of hard work, Facebook is a place where I can take a vision and take it to fruition.",facebook
2161,"People are really nice, lots of stuff you can learn",google
355,"Googlers are great to work with, the company seems to care.",google
35701,"- mainly work on project, so there is always the opportunity to learn your things and get in contact with different people - great benefits (schedule flexibility, health insurance, canteen)",facebook
56743,"Quick progression at the lower levels. Your rewards are entirely based on your performance,",microsoft
36555,"To many hours, lots of new experience",netflix
35729,"- professional, personal, career, whatever you need, FB gives you! - growth, visibility unlimited - the only place that I worked which lets me be! - never afraid of being judged, I can go as stupid as I want to, as long as I learn something out of it...",facebook
7568,The people are very nice. The food is excellent. I like the environment very much. There are a lot of tech seminars.,google
2628,Everything is great to work for google.,google
5054,Great Culture & capable team member,google
35629,"The pros are -  - The overall company culture - Good food  I did not find any pro in the product support team.  I would recommend working at Facebook, but be very aware of which teams you join, the core responsibilities, the manager, the career level your are joining at etc.",facebook
34751,"it is a good position to work, but a little bit too busy for every day",facebook
36074,all designer are talented,netflix
36264,"Lunch, brand that people are aware of.",netflix
35766,"- Great atmosphere - High degee of ownership in your role and in side-projects - A lot of freebies (food, sport facilities, etc) - Competitive compensation",facebook
34392,"- Quite possibly the best benefits of any company in the U.S - 3 meals a day - You get to work on challenging problems at a an enormous scale - Autonomy to work on the things you want - You work with some of amazing infrastructure tools to make your workflow as efficient as possible. If an industry tool can't keep up with Facebook's scale, they'll just engineer its own solution. I think that speaks to its engineering culture. - You work with some of the smartest people in the industry. - An extremely open culture that's very self critical of itself.",facebook
36410,Great product Good co-workers Transition from DVD to Digital is very interesting,netflix
35284,"The Culture: This tops the list of reasons to work at Facebook. Many companies say they take their culture seriously but Facebook lives it. The mantras and propaganda around the office really do help you ""stay focused and keep shipping"", by clearing away your own barriers and resolving debates.  The Impact: My first day on the job I submitted a diff that now hundreds of millions of people see every day. Imagining a more connected world keeps me coming in every day, because I know that I'm building that future.  The Career Opportunities: There is no arbitrary ladder, no game mechanics, at Facebook. Your career grows as you hack larger things. Because you are encouraged to work across Facebook, jumping teams and technologies, you gain a variety of skills that keeps you agile and flexible. And because Facebook is built on a lot of open source technologies, the skills you gain here are easily transferable everywhere.",facebook
52795,"Solid pay, people, and work hours",microsoft
7221,High Learning Curve. Latest Technologies. Free Snacks. Free Lunch talented Colleagues.,google
